name,ingredients
Steak And Eggs Hash,"2 lb yukon gold potato (910 g), peeled and cut into 1/2 in (1 1/2 cm), cold water, for cooking potatoes, 1 ½ tablespoons kosher salt, divided, 1 top sirloin steak, 1 ½ teaspoons freshly ground black pepper, divided, 2 tablespoons unsalted butter, divided, 1 tablespoon canola oil, ½ small yellow onion, thinly sliced, 8 oz cremini mushroom (225 g), steemed and quartered, 1 small red bell pepper, seeded and diced, 1 teaspoon fresh oregano, chopped, 1 cup cherry tomato (200 g), halved, 4 large eggs, 1 tablespoon fresh parsley, minced"
Baked Garlic Parmesan Chicken Wings,"2 lb chicken wings (910 g), 1 teaspoon salt,, 1 teaspoon black pepper, 1 tablespoon italian seasoning, 1 teaspoon ground cumin, ⅓ cup grated parmesan cheese (35 g), 4 cloves garlic, finely minced, ¼ cup olive oil (60 mL), ¼ cup fresh parsley (10 g), chopped"
Slow Cooker Balsamic Chicken,"1 tablespoon olive oil, 4 cloves garlic, minced, 1 lb baby carrots (455 g), 8 boneless, skinless chicken thighs, 1 teaspoon salt, 1 teaspoon pepper, 1 teaspoon garlic powder, 1 teaspoon dried basil, ½ cup balsamic vinegar (120 mL), 1 onion, sliced, 1 lb green beans (455 g), fresh parsley, chopped, for garnish"
The Best Crispy Buffalo Wings,"¾ cup cornstarch (95 g), divided, 2 lb chicken wings (910 g), rinsed and patted dry, ¼ cup all-purpose flour (30 g), 1 teaspoon paprika, 1 teaspoon garlic powder, 1 teaspoon cayenne pepper, 2 teaspoons baking powder, 2 teaspoons salt, 1 teaspoon black pepper, ⅔ cup water (155 mL), peanut or vegetable oil, for frying, ½ cup buffalo sauce (155 g), ranch or blue cheese dip, for serving, 1 stalk celery sticks, for serving, cut into sticks"
Whiskey-Glazed Chicken And Shrimp With Garlic Mashed Potatoes,"1 head garlic, halved crosswise, 2 tablespoons olive oil, 1 ½ teaspoons freshly ground black pepper, divided, 2 teaspoons kosher salt, divided, 3 large eggs, beaten, 2 cups panko breadcrumbs (100 g), 2 boneless, skinless chicken breasts, halved and pounded thin, 6 tablespoons vegetable oil, divided, 6 large shrimps, peeled and deveined, 1 cup pineapple juice (240 mL), ⅔ cup water (160 mL), 1 tablespoon soy sauce, ¼ cup teriyaki sauce (60 mL), 1 ¼ cups brown sugar (250 g), 1 teaspoon lemon zest, 3 tablespoons lemon juice, ¼ cup white onion (35 g), minced, 2 tablespoons pineapple, crushed, 2 tablespoons whiskey, ½ teaspoon cayenne, 3 tablespoons fresh parsley, chopped, 6 medium red skin potatoes, quartered, cold water, as needed, 3 tablespoons unsalted butter, 1 cup heavy cream (240 mL), 1 tablespoon kosher salt, 1 teaspoon freshly ground black pepper"
Classic Meat Lover’s Calzones,"¾ cup warm water (180 mL), 1 ½ teaspoons instant yeast, (1/2 packet), 2 cups all-purpose flour (250 g), plus more for dusting, 1 ½ teaspoons kosher salt, 1 tablespoon olive oil, 3 links Italian sausage, casings removed and sausage crumbled, ½ yellow onion, diced, ½ teaspoon kosher salt, plus a pinch, ½ teaspoon black pepper, ½ cup marinara sauce (130 g), plus more for dipping, 8 slices deli ham, 20 slices pepperoni, 1 cup shredded mozzarella cheese (100 g), 1 large egg"
Cheddar Biscuit Chicken Pot Pie,"3 tablespoons unsalted butter, ¼ cup all-purpose flour (30 g), 3 cups milk (720 mL), 1 rotisserie chicken, shredded, 1 ½ cups frozen peas and carrots (225 g), ½ cup frozen pearl onions (75 g), 1 cup small potato (225 g), diced, 1 tablespoon kosher salt, 2 teaspoons black pepper, 4 cups biscuit flour (500 g), plus more for dusting, 4 teaspoons baking powder, ½ teaspoon baking soda, 1 teaspoon kosher salt, 1 cup unsalted butter (230 g), cubed, very cold, 1 cup buttermilk (240 mL), 1 large egg, beaten, 1 cup shredded cheddar cheese (100 g), ¼ cup chives (10 g), chopped"
Spiced Chorizo And Tomato Shakshuka,"1 tablespoon olive oil, ¾ cup chorizo (100 g), chopped into 1/4 in pieces, 1 medium onion, chopped, 2 cloves garlic, chopped, red bell pepper, chopped into 1/2 in (1 1/4 cm) pieces, 1 tablespoon paprika, ½ teaspoon ground cumin, ¼ teaspoon ground pepper, 1 pinch sea salt, 5 lb tomato (2.4 g), chopped, 4 eggs, ½ cup feta cheese (50 g), crumbled, ¼ cup fresh parsley (15 g)"
One-pan Chicken Sausage & Veggies,"1 zucchini, sliced, 1 yellow squash, sliced, 1 tablespoon olive oil, ¼ teaspoon salt, ¼ teaspoon pepper, ¼ teaspoon garlic powder, 4 chicken sausages, fully cooked, sliced, 4 cups wild rice (920 g), cooked, to serve"
Teriyaki Baked Wings,"1 ½ lb chicken wings (680 g), 2 teaspoons baking powder, ¼ teaspoon salt, ½ cup soy sauce (120 mL), 2 tablespoons brown sugar, 2 tablespoons honey, 1 tablespoon sesame seed"
BBQ Chicken Pasta Bake,"2 cups rotisserie chicken (250 g), shredded, 14.5 oz diced tomato (425 g), drained, 15 oz corn (420 g), drained, ½ red onion, diced, 1 ½ cups ranch dressing (365 g), 1 cup BBQ sauce (290 g), 16 oz fusilli pasta (450 g), pepper, to taste, 2 cups shredded mozzarella cheese (200 g), fresh parsley"
BBQ Chicken Ring,"2 ½ cups cooked chicken (375 g), shredded, 1 cup red onion (150 g), diced, 1 cup BBQ sauce (290 g), 1 cup mozzarella cheese (115 g), 16 pieces crescent dough, 2 cans, ranch dressing, to taste"
Chicken Alfredo Ravioli Lasagna,"2 tablespoons unsalted butter, 1 tablespoon garlic, minced, 4 cups heavy cream (960 mL), 2 cups grated parmesan cheese (220 g), salt, to taste, pepper, to taste, ½ teaspoon nutmeg, grated, 30 oz spinach ricotta ravioli (850 g), 3 packages, uncooked, 2 cups rotisserie chicken (250 g), shredded, divided, 2 cups shredded mozzarella cheese (230 g), divided, 2 tablespoons fresh parsley, chopped"
Chicken Tortilla Bowl Soup,"1 onion, diced, 1 jalapeño, diced, 3 cloves garlic, chopped, 3 chicken breasts, 1 can black beans, drained, 1 can corn, drained, 1 can diced tomato, 1 can red enchilada sauce, 4 cups chicken stock (945 mL), ½ teaspoon dried oregano, ½ teaspoon ground pepper, 1 teaspoon cumin, 1 teaspoon salt, 1 pack large flour tortilla, vegetable oil, for frying, fresh cilantro, monterey jack cheese, lime, wedged, avocado, sliced"
Chicken Bacon Ranch Sandwich Roll,"12 bacons, depending on bacon width, ⅓ cup Frank’s Red Hot Original (80 mL), 12 slices white sandwich bread, 1 egg, whisked, ¾ lb chicken (340 g), thin deli-sliced, ½ cup ranch dressing (120 g), ½ lb monterey jack cheese (225 g), thinly sliced, baby spinach, handful, ranch butter, 3 tablespoons butter, melted, 3 tablespoons ranch dressing"
One-Pan Lemon Pepper Chicken,"½ lb aspargus (230 g), trimmed, olive oil, to taste, salt, to taste, pepper, to taste, 1 clove garlic, minced, 1 chicken breast, salt, to taste, ½ teaspoon pepper, ½ teaspoon dried oregano, 1 lemon, half for the juice, half for slices, parchment paper"
Slow-Cooker Chicken Tacos,"1 onion, thinly sliced, 1 cup corn (175 g), 1 can diced tomato, drained, 1 large jalapeño, deseeded and diced, 4 cloves garlic, minced, 1 lime, juiced, 6 boneless, skinless chicken thighs, 12 corn tortillas, as desired, guacamole, as desired, salsa, as desired, 2 teaspoons cumin, 2 teaspoons oregano, 1 ½ teaspoons paprika, 1 teaspoon chili powder, ½ teaspoon black pepper, salt, to taste"
The Ultimate Thanksgiving Turkey Hack,"15 lb turkey (6.7 kg), ¼ cup kosher salt (60 g), 2 tablespoons dark brown sugar, 1 tablespoon freshly ground black pepper, 1 tablespoon granulated garlic, cooking oil, of choice, for drizzling, 1 turkey carcas, 1 medium yellow onion, quartered, 3 carrots, peeled and halved, 3 stalks celery, cut into thirds, kosher salt, to taste, cooking oil, of choice, for drizzling, cold water, 2 bay leaves, ⅓ cup rendered turkey fat (75 g), or butter, ⅓ cup all-purpose flour (40 g), 1 qt turkey stock (945 mL), or chicken stock, 1 bunch fresh sage, optional, kosher salt, to taste, freshly ground black pepper, to taste"
Hainanese Chicken Rice,"3 lb whole chicken (1.3 kg), giblets removed, ¼ cup kosher salt (60 g), divided, 4 inch pieces fresh ginger, peeled and cut into ¼-inch (6 mm) slices, 1 bunch fresh scallion, 1 gal cold water (3.7 L), plus more as needed, 2 tablespoons sesame oil, ¼ cup sesame oil (60 mL), 2 tablespoons chicken fat, chopped, 2 cloves garlic, minced, 1 tablespoon fresh ginger, minced, 1 teaspoon kosher salt, 2 cups long grain rice (400 g), rinsed and drained, 2 cups reserved chicken poaching broth (480 mL), 2 tablespoons sambal, 2 tablespoons  sriracha, 2 teaspoons sugar, 1 tablespoon garlic, minced, 1 tablespoon fresh ginger, minced, 1 tablespoon lime juice, 2 tablespoons reserved chicken poaching broth, 2 tablespoons fresh ginger, grated, 2 tablespoons garlic, finely minced, kosher salt, to taste, 3 tablespoons peanut oil, 1 tablespoon rice vinegar, reserved fried garlic and ginger, 1 tablespoon oyster sauce, 3 tablespoons dark sweet soy sauce, 1 tablespoon light soy sauce, 2 tablespoons reserved chicken poaching broth, 2 cucumbers, thinly sliced, for serving, 1 bunch fresh cilantro, for serving"
Chicken Enchilada-Stuffed Zucchini Boats,"1 boneless, skinless chicken breast, sliced into ½-inch (1 cm) pieces, ½ teaspoon salt, ¼ teaspoon ground black pepper, ½ teaspoon chili powder, 2 teaspoons olive oil, ½ cup salsa (130 g), mild, 1 zucchini, cut in half lengthwise, centers hollowed out, 2 tablespoons shredded cheddar cheese, 1 roma tomato, diced, ¼ avocado, dinced, 2 tablespoons chopped cilantro, 1 lime, cut into wedges, ½ cup nonfat greek yogurt (140 g), plain, 1 tablespoon lime juice, ¼ teaspoon salt"
Creamy Garlic Parmesan Crispy Chicken Salad,"1 ½ cups panko breadcrumbs (75 g), ¼ cup parmesan cheese (30 g), grated, 1 teaspoon salt, plus more for taste, 1 teaspoon pepper, plus more for taste, 1 teaspoon paprika, 1 teaspoon garlic powder, 2 chicken breasts, 1 cup all purpose flour (125 g), 3 large eggs, beaten, 2 tablespoons olive oil, ⅔ cup sour cream (155 g), ⅓ cup buttermilk (80 mL), ¼ cup parmesan cheese (30 g), grated, 1 tablespoon garlic, minced, 1 tablespoon lemon juice, 1 tablespoon apple cider vinegar, 1 tablespoon olive oil, salt, to taste, freshly ground black pepper, to taste, 16 oz mixed greens (455 g), 2 cups mixed cherry tomato (400 g), halved, ½ red onion, thinly sliced"
Classic Meatloaf,"1 tablespoon olive oil, plus more for greasing, 1 large yellow onion, diced, 3 cloves garlic, minced, 2 tablespoons tomato paste, 1 cup panko bread crumbs (115 g), 1 cup whole milk (240 mL), 2 lb ground beef (910 g), 2 large eggs, beaten, ½ cup roughly chopped fresh parsley (10 g), 1 tablespoon worcestershire sauce, ½ teaspoon dried thyme, 1 tablespoon kosher salt, 1 teaspoon freshly ground black pepper, ½ cup ketchup (120 mL)"
Sausage & Veggie Quiche,"½ lb chicken sausage (225 g), ½ cup onion (75 g), chopped, ½ cup mushroom (35 g), chopped, 4 oz fresh spinach (110 g), chopped, ½ teaspoon salt, ½ teaspoon black pepper, 6 eggs, 1 cup milk (240 mL), 1 premade pie crust, thawed, parmesan cheese, grated"
Honey Garlic Chicken Wings,"½ cup flour (60 g), 1 teaspoon garlic powder, ½ teaspoon pepper, ½ teaspoon salt, 2 lb chicken winglets (910 g), and/or chicken drumlets, oil, for frying, 1 tablespoon butter, 1 tablespoon garlic, minced, 1 tablespoon ginger, ½ cup soy sauce (120 mL), 5 tablespoons honey, 1 tablespoon brown sugar, 1 teaspoon sesame seed, scallion"
Sweet & Sour Pork,"2 lb pork shoulder (910 g), or pork butt, 2 cloves garlic, minced, 1 teaspoon black pepper, ¼ cup green onion (25 g), ½ cup soy sauce, divided, 2 tablespoons vegetable oil, plus more for frying, 3 eggs, beaten, 1 ½ cups cornstarch (190 g), 1 white onion, chopped, 1 red bell pepper, 1 green bell pepper, 8 oz chopped pineapple with syrup (225 g), ¼ cup vinegar (60 mL), ¼ cup sugar (50 g), ¼ cup ketchup (55 g), 4 ½ cups cooked white rice (900 g), for serving"
"Uncle Pooh’s Shrimp, Sausage, And Grits","3 cups whole milk (720 mL), 3 cups heavy cream (720 mL), 1 cup white corn grits (170 g), 2 teaspoons salt, divided, 1 teaspoon black pepper, divided, 3 tablespoons unsalted butter, ½ cup shredded cheddar cheese (50 g), 2 tablespoons vegetable oil, 1 medium white onion, minced, 1 yellow bell pepper, diced, 1 medium red bell pepper, diced, 2 cloves garlic, minced, 1 lb andouille sausage (455 g), sliced, 1 pinch cayenne pepper, plus more to taste, 1 cup chicken stock (240 mL), 1 lb large raw shrimp (455 g), peeled and deveined, 1 pinch cayenne pepper, plus more to taste, thinly sliced scallion, for serving"
Country Fried Steak And Gravy,"8 oz cube steak (225 g), 4 steaks, 8 oz (225 g) each, 1 ½ teaspoons kosher salt, plus more to taste, 1 teaspoon black pepper, plus more to taste, 2 large eggs, 2 ¾ cups whole milk (660 mL), divided, 1 ½ cups all-purpose flour (190 g), divided, plus 3 tablespoons, 1 teaspoon garlic powder, 1 teaspoon onion powder, 1 teaspoon paprika, 1 cup vegetable oil (240 mL), 3 tablespoons unsalted butter, ½ cup heavy cream (120 mL)"
Chicken Parmesan-Stuffed Garlic Bread,"1 boneless, skinless chicken breast, 2 cups flour (250 g), 4 eggs, beaten, 2 cups seasoned breadcrumb (230 g), 1 cup oil (240 mL), for frying, 1 large baguette, 10 slices mozzarella cheese, marinara sauce, ⅓ cup butter (75 g), melted, 3 cloves garlic, minced, 1 tablespoon fresh parsley, chopped, 1 tablespoon grated parmesan cheese"
Potato Chip Chicken Tenders,"1 cup flour (125 g), 1 tablespoon salt, 1 tablespoon pepper, 1 tablespoon garlic powder, 1 tablespoon onion powder, 4 large eggs, beaten, 2 cups potato chips of choice (70 g), 4 boneless, skinless chicken breasts, sliced, dipping sauce of choice, for serving"
Gourmet Rib Eye Steak,"1 ribeye steak, preferably USDA Prime, 2-inch (5 cm) thick, salt, to taste, pepper, to taste, 3 tablespoons canola oil, 3 tablespoons butter, 3 cloves garlic, peeled and smashed, 2 sprigs fresh rosemary, 3 sprigs fresh thyme"
Potato Lasagna,"5 potatoes, peeled, 2 teaspoons salt, 1 teaspoon pepper, 8 slices ham, 7 slices mozzarella cheese, 5 slices bacon, cooked and crumbled, ¼ cup fresh parsley (10 g), chopped, 2 cups shredded mozzarella cheese (200 g), 1 cup heavy cream (240 mL), 2 eggs"
Chinese Take-Away-Style Lemon Chicken,"¼ lb chicken breast (120 g), diced, ½ lemon lemon  zest, 1 teaspoon garlic, crushed, 1 tablespoon soy sauce, salt, to taste, pepper, to taste, ½ cup flour (50 g), 2 eggs, beaten, 1 cup panko breadcrumbs (50 g), 2 cups oil (500 mL), ¼ cup chicken stock (60 mL), ½ lemon lemon  zest, 1 lemon, juiced, 4 tablespoons sugar, 1 tablespoon water, ½ tablespoon corn flour"
Bacon Egg Cups,"6 slices bacon, 6 eggs, salt, taste, pepper, taste, ¼ cup shredded cheddar cheese (25 g), chive, to taste, muffin tin"
Chicken Parm Strips,"2 boneless, skinless chicken breasts, ½ cup bread crumbs (60 g), ½ cup grated parmesan cheese (50 g), 1 teaspoon salt, ½ teaspoon pepper, 2 eggs, ½ cup mozzarella (50 g), shredded, marinara sauce, for dipping"
Chicken Alfredo Lasagna,"4 boneless, skinless chicken breasts, 4 teaspoons salt, 4 teaspoons pepper, 4 teaspoons garlic powder, 4 tablespoons canola oil, 3 cloves garlic, minced, ½ medium white onion, finely chopped, 2 cups heavy cream (480 mL), ½ cup shredded parmesan cheese (55 g), 1 cup fresh parsley (35 g), chopped, 10 lasagna noodles, cooked, 2 cups shredded mozzarella cheese (200 g), 6 strips bacon, cooked and crumbled"
Whole Wheat Pasta With Lemon Kale Chicken,"kosher salt, to taste, 4 oz whole wheat spaghetti (115 g), 1 boneless, skinless chicken breast, sliced, freshly ground black pepper, to taste, 5 tablespoons extra-virgin olive oil, divided, 2 cloves garlic, minced, ¼ teaspoon red pepper flakes, 2 cups curly kale (135 g), chopped, ribs removed, 1 lemon lemon  zest, 1 tablespoon lemon juice, freshly grated parmesan cheese, for garnish"
Sausage French Toast Roll-Ups,"10 slices sandwich bread, 10 cooked sausage links, 3 large eggs, 1 tablespoon milk, ½ teaspoon cinnamon, ½ teaspoon vanilla extract, unsalted butter, as needed"
One-Pot Bacon And Wild Mushroom Risotto,"3 tablespoons olive oil, 1 medium onion, sliced, 5 strips bacon, diced, 8 oz wild mushrooms (225 g), such as porcini or shiitake, sliced, 1 ½ cups arborio rice (300 g), ½ cup dry white wine (120 mL), such as Sauvignon Blanc, 5 cups chicken broth (1.17 L), ½ cup parmesan cheese (55 g), plus more for garnish"
Mexican-style Pork Tacos (Tacos Al Pastor),"5 lb boneless pork shoulder (2 kg), 3 tablespoons achiote paste, 2 tablespoons guajillo chili powder, 1 tablespoon garlic powder, 1 tablespoon dried oregano, 1 tablespoon cumin, 1 tablespoon salt, 1 tablespoon pepper, ¾ cup white vinegar (175 mL), 1 cup pineapple juice (240 mL), 1 pineapple, skinned and sliced into 1-inch (2 cm) rounds, 10 small corn tortillas, 1 white onion, finely chopped, 1 cup fresh cilantro (40 g), finely chopped, 1 cup salsa (260 g), 1 avocado, diced, 2 limes, cut into wedges, 1 thick wooden skewer, trimmed to the height of your oven"
Creamy Garlic Dijon Chicken,"1 ½ lb boneless, skinless chicken breast (680 g), 1 ½ tablespoons kosher salt, plus 1/2 teaspoon, plus more to taste, divided, 3 tablespoons olive oil, divided, 2 tablespoons unsalted butter, 4 cloves garlic, minced, 1 tablespoon all purpose flour, 1 ½ cups chicken broth, 2 tablespoons French's Dijon Mustard, ¼ teaspoon freshly ground black pepper, 3 tablespoons heavy cream, 1 tablespoon fresh parsley, minced, plus more, chopped, for garnish,, ½ lemon, zested, ½ lb baby bella mushrooms (225 g), sliced, ½ lb asparagus (225 g), woody ends removed, stalks cut into 2 in (5 cm) pieces, ½ cup peas (75 g), fresh or frozen"
Bacon & Sausage Egg Wrapped Breakfast Burrito,"2 eggs, salt, to taste, 1 tablespoon shredded parmesan cheese, ½ tablespoon butter, ¼ cup shredded cheddar cheese (25 g), ¼ cup breakfast potato (50 g), cooked, ¼ cup sausage (35 g), cooked, 1 ½ slices bacon, cooked"
Breakfast Egg Cups,"12 eggs, beaten, salt, to taste, pepper, to taste, ¼ cup fresh spinach (10 g), chopped, ½ cup tomato (100 g), diced, ¼ cup shredded mozzarella cheese (25 g), or to taste, ⅓ cup broccoli (50 g), chopped, ¼ cup shredded cheddar cheese (25 g), or to taste, ½ cup turkey bacon (112 g), chopped, ½ red bell pepper, diced, ¼ deli chicken meat, diced"
Beef Enchiladas,"nonstick cooking spray, for greasing, 1 tablespoon olive oil, 1 medium yellow onion, diced, 3 cloves garlic, minced, 1 teaspoon ground cumin, 1 teaspoon paprika, ¼ teaspoon chili powder, 1 lb ground beef (425 g), 3 teaspoons kosher salt, 1 can black beans, drained and rinsed, 2 cups enchilada sauce (470 g), divided, 8 medium flour tortillas, 2 cups shredded mexican cheese blend (200 g), ¼ cup fresh cilantro (10 g), finely chopped, cotija cheese, for garnish - optional"
One-pan Fall Chicken Dinner,"4 tablespoons olive oil, divided, 3 cloves garlic, minced, 1 tablespoon fresh thyme, finely chopped, 1 tablespoon fresh rosemary, finely chopped, 1 tablespoon fresh sage, finely chopped, 4 boneless, skinless chicken thighs, ½ teaspoon salt, ½ teaspoon pepper, 1 sweet potato, cubed, 1 lb brussels sprouts (455 g), trimmed and halved, ½ red onion, chopped, 4 slices bacon, chopped, salt, to taste, pepper, to taste"
Broccoli Cheddar Chicken Rollups,"3 ½ cups broccoli (525 g), finely chopped, divided, 2 cups shredded cheddar cheese (200 g), 1 teaspoon garlic powder, 1 teaspoon onion powder, 8 oz cream cheese (225 g), 1 package, softened, 3 chicken breasts, salt, to taste, pepper, to taste, 14 oz cheddar cracker (390 g), 1 package, 1 cup all-purpose flour (125 g), 2 eggs"
Spaghetti And Meatballs,"¼ cup olive oil (60 mL), 2 large yellow onions, chopped, 10 cloves garlic, minced, kosher salt, to taste, pepper, to taste, ½ teaspoon red pepper flakes, 12 oz tomato paste (340 g), 55 oz crushed tomato (1.5 kg), 2 cans, 1 tablespoon dried basil, 1 tablespoon dried oregano, 1 tablespoon dried parsley, 1 lb ground beef (455 g), 1 lb ground pork (455 g), 1 cup bread crumbs (115 g), ½ cup ricotta cheese (125 g), ¼ cup fresh parsley (10 g), chopped, 2 large eggs, beaten, ½ cup grated parmesan cheese (55 g), ¼ cup milk (60 mL), kosher salt, to taste, black pepper, to taste, 1 lb dried spathetti (455 g), fresh basil, chopped, grated parmesan cheese, fresh"
One-Pan Taco Macaroni And Cheese,"olive oil, 1 lb ground beef (455 g), 1 small white onion, diced, 1 tablespoon garlic, minced, 2 tablespoons taco seasoning, divided, ½ lb small macaroni (225 g), dry, 1 cup water (240 mL), 2 cups beef stock (480 mL), 2 cups shredded white cheddar (200 g), yellow cheddar works as well, 1 cup tomato (200 g), diced, green onion, diced, for garnish"
Cashew Chicken Stir-Fry,"6 tablespoons soy sauce, 1 tablespoon hoisin sauce, 1 tablespoon rice vinegar, 2 tablespoons honey, 1 teaspoon sesame oil, ½ tablespoon ginger, minced, 2 cloves garlic, minced, ¾ lb chicken breast (340 g), cut into 1-inch (2 1/2 cm) pieces, salt, to taste, pepper, to taste, 1 tablespoon cornstarch, 1 tablespoon sesame oil, 4 cups broccoli floret (600 g), 1 red bell pepper, cut into 1-inch (2 1/2 cm) pieces, ¾ cup raw cashew (95 g), ½ cup water (120 mL), brown rice, to serve"
One-Pan Pesto Chicken & Veggies,"3 boneless, skinless chicken breasts, 2 large zucchinis, sliced, 2 pt cherry tomatoes, 3 cloves garlic, chopped, 2 tablespoons olive oil, kosher salt, to taste, freshly ground black pepper, to taste, 1 small jar pesto, 1 cup shredded mozzarella cheese (115 g), plus more for garnish"
Air Fryer Bacon-Wrapped Jalapeño Poppers,"7 large jalapeñoes, 6 oz cream cheese (170 g), room temperature, ¾ cup shredded sharp cheddar cheese (75 g), ½ teaspoon kosher salt, ¼ teaspoon freshly ground black pepper, 14 strips bacon"
Steak Fajita Crunch Bombs,"1 lb flank steak (455 g), 1 tablespoon olive oil, 1 teaspoon salt, 1 teaspoon pepper, 1 teaspoon cumin, 1 teaspoon chili powder, 4 cloves garlic, chopped, 1 yellow onion, chopped, 3 bell peppers, seeded, diced, 9 medium flour tortillas, 3 cups shredded mexican cheese blend (300 g), 8 oz monterey jack cheese (250 g), sliced into 1-inch (2 1/2 cm) pieces, 18 tortilla chips, 2 tablespoons fresh cilantro, chopped"
One-Pot Pesto Chicken Pasta,"1 lb boneless, skinless chicken tenders (455 g), 1 tablespoon olive oil, 3 cloves garlic, 16 fl oz low-sodium chicken broth, 4 oz sun-dried tomatoes (110 g), drained, 8 oz whole wheat pasta (225 g), ¼ teaspoon salt, ¼ teaspoon red pepper flakes, 3 oz baby spinach (85 g), 1 clove garlic, 4 oz fresh basil (110 g), roughly chopped, ¼ teaspoon salt, ¼ teaspoon black pepper, 2 tablespoons walnuts, 3 oz olive oil (90 mL), 4 tablespoons fresh parmesan cheese"
Easy Honey-Mustard Chicken Meal Prep,"1 cup sweet potato (200 g), diced, 1 cup red potato (225 g), diced, 1 cup red onion (150 g), chopped, 1 cup brussel sprout (100 g), quartered, 1 cup green beans (360 g), chopped, 1 cup carrot (120 g), chopped, olive oil, to taste, salt, to taste, pepper, to taste, ½ tablespoon dried thyme, 1 tablespoon fresh rosemary, chopped, ¼ cup dijon mustard (60 g), ¼ cup honey (85 g), 3 cloves garlic, minced, 4 chicken thighs"
Cheesesteak-Stuffed Peppers,"1 lb flank steak (455 g), 1 tablespoon olive oil, 1 tablespoon paprika, 1 tablespoon garlic powder, 1 teaspoon pepper, divided, 2 teaspoons salt, divided, 2 tablespoons worcestershire sauce, 2 tablespoons unsalted butter, 3 large white onions, sliced, 3 green bell peppers, sliced, 6 red bell peppers, 15 slices provolone cheese, 2 tablespoons fresh parsley, chopped, for garnish"
Chicken Curry Naan Bowls,"2 tablespoons salt, 1 tablespoon ground pepper, 1 tablespoon ground cumin, 1 tablespoon smoked paprika, 1 tablespoon ground turmeric, 1 tablespoon coriander, 1 teaspoon ground cardamom, 1 teaspoon dry mustard, 1 teaspoon cayenne, ½ teaspoon allspice, 3 lb boneless, skinless chicken thighs (1.5 g), cut into 2 in (5 cm) cubes, 5 tablespoons full-fat yogurt, divided, plus more for serving, 9 cloves garlic, minced, divided, 1 tablespoon fresh ginger, minced, 3 tablespoons olive oil, plus more as needed, 3 carrots, chopped, 1 white onion, chopped, 1 lb yukon gold potato (455 g), chopped, 2 tablespoons tomato paste, 28 oz crushed tomatoes (795 g), 1 can, 2 cups chicken broth (480 mL), 2 cups basmati rice (460 g), or long-grain jasmine, cooked, for serving, 1 fresh cilantro, for serving, Lime wedge, for serving, ½ cup warm water (120 mL), 2 tablespoons sugar, 1 tablespoon active dry yeast, 4 cups all-purpose flour (500 g), plus more for dusting, 1 teaspoon baking powder, 1 teaspoon baking soda, 1 tablespoon kosher salt, plus more to taste, 1 cup full-fat yogurt (245 g), 1 cup whole milk (240 mL), room temperature, olive oil, for greasing, ½ cup unsalted butter (115 g), 1 stick, melted"
BBQ Bacon Meatballs,"9 oz ground beef (250 g), ½ lb sausage (250 g), 9 oz ground sausage (250 g), ½ cup breadcrumb (75 g), ⅔ cup bread crumbs (75 g), ⅓ cup onion (40 g), chopped, ¼ cup onion (40 g), chopped, 2 cloves garlic, 2 cloves garlic, chopped, 1 egg, 1 egg, 1 pack mozzarella cheese, grated, 1 pack mozzarella cheese, grated, 6 bacons, 6 rashers bacon, BBQ sauce, BBQ sauce, to taste"
Spicy Korean BBQ-style Pork,"1 ½ lb boneless pork shoulder (680 g), or pork belly, chilled or frozen for easier slicing, ½ onion, sliced into thin strips, 3 stalks green onion, sliced into 2-inch (5 cm) pieces, 3 cloves garlic, minced, 1 teaspoon ginger, minced, ¼ cup korean red chili paste (55 g), gochujang, 1 teaspoon red pepper flakes, ¼ cup soy sauce (60 mL), 3 tablespoons rice wine, 1 tablespoon sesame oil, 1 tablespoon sugar, 1 teaspoon black pepper, 1 tablespoon canola oil, sesame seed, to garnish, rice, to serve"
Meal Prep Chicken Burrito Bowls,"2 large, boneless, skinless chicken breasts, cubed, 15 oz black beans (395 g), 1 can, drained and rinsed, 1 white onion, diced, 2 cloves garlic, 16 oz medium chunky salsa (455 g), 1 jar, 1 cup brown rice (200 g), cooked, 1 tablespoon olive oil, 1 bundle green onion, sliced, for garnish, salt, to taste, black pepper, to taste"
One-pot Spinach Chicken Pasta,"4 tablespoons olive oil, 3 tablespoons salt, divided, 1 lb penne pasta (455 g), 3 cloves garlic, chopped, 2 chicken breasts, cubed, 1 tablespoon pepper, 28 oz crushed tomato (795 g), 1 can, ½ teaspoon red chili flakes, ½ cup heavy cream (120 mL), 5 oz spinach (140 g), ½ cup parmesan cheese (55 g), parmesan cheese, to taste"
One-Pan Pork And Asparagus Stir-fry,"1 lb pork loin (455 g), 1 teaspoon salt, 1 teaspoon pepper, 1 cup asparagus (125 g), trimmed and cut, 1 cup red pepper (100 g), diced, ½ cup soy sauce (120 mL), ¼ cup honey (85 g), 2 cloves garlic, 1 teaspoon ginger, 1 tablespoon sesame seed"
Sausage and Apple Stuffed Acorn Squash,"2 small acorn squashes, or 1 large, 1 onion, chopped, 2 stalks celery, chopped, 1 tablespoon olive oil, 1 teaspoon salt, 1 teaspoon pepper, 1 teaspoon fresh rosemary, 3 cloves garlic, chopped, ½ lb sausage (225 g), 1 apple, chopped, 1 cup panko breadcrumbs (50 g), ½ cup parmesan cheese (55 g)"
